feature,n,mae,rmse,max_abs
HOMO-1s-LUMO+6i,52,0.06391325,0.1088711180751916,0.379018
HOMO-7s-LUMO+5i,52,0.06008959615384615,0.10885152078696288,0.36785199999999996
HOMO-7s-LUMO+6i,52,0.06389571153846155,0.10883141356500747,0.376672
HOMO-2s-LUMO+5i,52,0.05994894230769229,0.10876611308082834,0.369488
HOMO-2s-LUMO+6i,52,0.06370178846153846,0.10872950181820303,0.37830800000000003
HOMO-5s-LUMO+5i,52,0.05909190384615385,0.10838047899050611,0.374652
HOMO-5s-LUMO+6i,52,0.06267182692307692,0.10837588600817845,0.38347200000000004
HOMO-8s-LUMO+5i,52,0.0580626923076923,0.10763444504807786,0.365733
HOMO-8s-LUMO+6i,52,0.061803153846153834,0.10756773482608706,0.374553
HOMO-3s-LUMO+5i,52,0.05691546153846154,0.10694240151541677,0.36475199999999997
HOMO-3s-LUMO+6i,52,0.06064653846153846,0.10684292705829719,0.373572
HOMO-4s-LUMO+5i,52,0.055528461538461533,0.10608455477825224,0.370211
HOMO-4s-LUMO+6i,52,0.05869192307692309,0.10596271070413983,0.37903099999999995
HOMO-4s-HOMOi,52,0.05074626923076919,0.09867525393313781,0.327598
HOMO-3s-HOMOi,52,0.047047961538461545,0.09713148751405132,0.317299
HOMO-8s-HOMOi,52,0.04667326923076923,0.09651104083670746,0.315416
HOMO-5s-HOMOi,52,0.048297211538461525,0.09648551418307867,0.322184
HOMO-4s-HOMO-3i,52,0.06800459615384613,0.09582825362966568,0.341031
HOMO-2s-HOMOi,52,0.04652448076923077,0.09569885601468406,0.31506
HOMO-1s-HOMOi,52,0.046572326923076925,0.09562340173817688,0.315314
HOMO-7s-HOMOi,52,0.046314019230769214,0.09553093065065768,0.312788
HOMO-6s-HOMOi,52,0.04627336538461538,0.09483045168361916,0.311984
HOMO-9s-HOMOi,52,0.04627309615384616,0.09480268043932497,0.311905
HOMO-10s-HOMOi,52,0.04631328846153845,0.09451532475873953,0.312136
HOMOs-HOMOi,52,0.046485634615384616,0.09435983327962004,0.31308899999999995
LUMO+9s-HOMOi,52,0.04653390384615386,0.09374999939271794,0.31206500000000004
HOMO-3s-HOMO-3i,52,0.06528155769230769,0.093485548824301,0.33073199999999997
LUMO+5s-HOMOi,52,0.046769423076923076,0.09336896393877359,0.311317
LUMO+7s-HOMOi,52,0.04661357692307693,0.0933280667418394,0.310521
LUMO+8s-HOMOi,52,0.04719371153846154,0.09259412085994945,0.309195
LUMO+6s-HOMOi,52,0.04686613461538461,0.09258400860206327,0.307635
LUMO+4s-HOMOi,52,0.04713788461538462,0.09250361548817762,0.308435
HOMO-8s-HOMO-3i,52,0.06383221153846147,0.09247462936946126,0.328849
HOMO-5s-HOMO-3i,52,0.06320023076923077,0.09233755117273212,0.335617
LUMOs-LUMO+4i,52,0.059415673076923095,0.09215272541516237,0.397616
LUMO+10s-HOMOi,52,0.04713078846153846,0.09202412217906195,0.305501
LUMO+3s-HOMOi,52,0.0471126923076923,0.09169483406009137,0.302153
HOMO-2s-HOMO-3i,52,0.06161603846153851,0.09102132180450065,0.328493
